num;grd;slc;ocn;raw
1;S1A_IW_GRDH_1SDV_20200706T074222_20200706T074242_033331_03DC92_E012;S1A_IW_SLC__1SDV_20200706T074222_20200706T074242_033331_03DC92_2526;S1A_IW_OCN__2SDV_20200706T074222_20200706T074242_033331_03DC92_49FB;S1A_IW_RAW__0SDV_20200706T074219_20200706T074242_033331_03DC92_79AE
2;S1A_IW_GRDH_1SDV_20200407T052956_20200407T053025_032017_03B2E2_D038;S1A_IW_SLC__1SDV_20200407T052956_20200407T053026_032017_03B2E2_18FA;S1A_IW_OCN__2SDV_20200407T052956_20200407T053025_032017_03B2E2_C702;S1A_IW_RAW__0SDV_20200407T052956_20200407T053029_032017_03B2E2_4F42
3;S1A_IW_GRDH_1SDV_20200126T052956_20200126T053025_030967_038E50_B43E;S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681;S1A_IW_OCN__2SDV_20200126T052956_20200126T053025_030967_038E50_2C1D;S1A_IW_RAW__0SDV_20200126T052956_20200126T053029_030967_038E50_0A48
4;S1A_IW_GRDH_1SDV_20200503T051344_20200503T051413_032396_03C03F_AC94;S1A_IW_SLC__1SDV_20200503T051344_20200503T051413_032396_03C03F_CD9E;S1A_IW_OCN__2SDV_20200503T051344_20200503T051413_032396_03C03F_7F64;S1A_IW_RAW__0SDV_20200503T051344_20200503T051416_032396_03C03F_633F
5;S1A_IW_GRDH_1SDV_20200630T053000_20200630T053029_033242_03D9F7_2A78;S1A_IW_SLC__1SDV_20200630T053000_20200630T053030_033242_03D9F7_9D63;S1A_IW_OCN__2SDV_20200630T053000_20200630T053029_033242_03D9F7_3DB2;S1A_IW_RAW__0SDV_20200630T053001_20200630T053033_033242_03D9F7_5127
6;S1A_IW_GRDH_1SDV_20200724T053002_20200724T053031_033592_03E4A8_3B8B;S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5;S1A_IW_OCN__2SDV_20200724T053002_20200724T053031_033592_03E4A8_C891;S1A_IW_RAW__0SDV_20200724T053002_20200724T053035_033592_03E4A8_50F1
7;S1A_IW_GRDH_1SDV_20200824T052155_20200824T052224_034044_03F3B6_6212;S1A_IW_SLC__1SDV_20200824T052155_20200824T052225_034044_03F3B6_EA99;S1A_IW_OCN__2SDV_20200824T052155_20200824T052224_034044_03F3B6_0534;S1A_IW_RAW__0SDV_20200824T052155_20200824T052227_034044_03F3B6_F3F2
8;S1A_IW_GRDH_1SDV_20200910T053004_20200910T053033_034292_03FC65_77DE;S1A_IW_SLC__1SDV_20200910T053004_20200910T053034_034292_03FC65_1F7A;S1A_IW_OCN__2SDV_20200910T053004_20200910T053033_034292_03FC65_006B;S1A_IW_RAW__0SDV_20200910T053005_20200910T053037_034292_03FC65_EEF5
9;S1A_IW_GRDH_1SDV_20200928T171800_20200928T171831_034562_0405EA_F164 ;S1A_IW_SLC__1SDV_20200928T171759_20200928T171831_034562_0405EA_2228;S1A_IW_OCN__2SDV_20200928T171800_20200928T171831_034562_0405EA_A13B;S1A_IW_RAW__0SDV_20200928T171756_20200928T171831_034562_0405EA_2A56
10;S1A_IW_GRDH_1SDV_20201121T175320_20201121T175345_035350_04214D_0CE8;S1A_IW_SLC__1SDV_20201121T175319_20201121T175346_035350_04214D_710B;S1A_IW_OCN__2SDV_20201121T175320_20201121T175345_035350_04214D_9518;S1A_IW_RAW__0SDV_20201121T175316_20201121T175349_035350_04214D_BC14
11;S1B_IW_GRDH_1SDV_20200511T062007_20200511T062032_021530_028E04_C616;S1B_IW_SLC__1SDV_20200511T062006_20200511T062033_021530_028E04_7727;S1B_IW_OCN__2SDV_20200511T062007_20200511T062032_021530_028E04_6978;S1B_IW_RAW__0SDV_20200511T062003_20200511T062036_021530_028E04_3D90
12;S1B_IW_GRDH_1SDV_20200514T051034_20200514T051059_021573_028F48_8C43;S1B_IW_SLC__1SDV_20200514T051033_20200514T051100_021573_028F48_FFD5;S1B_IW_OCN__2SDV_20200514T051034_20200514T051059_021573_028F48_E6B5;S1B_IW_RAW__0SDV_20200514T051030_20200514T051103_021573_028F48_3421
13;S1B_IW_GRDH_1SDV_20200719T055554_20200719T055619_022536_02AC5E_4DD3;S1B_IW_SLC__1SDV_20200719T055553_20200719T055620_022536_02AC5E_ABAE;S1B_IW_OCN__2SDV_20200719T055554_20200719T055619_022536_02AC5E_532C;S1B_IW_RAW__0SDV_20200719T055550_20200719T055623_022536_02AC5E_9C26
14;S1A_IW_GRDH_1SDV_20200214T174431_20200214T174456_031252_03982E_1024;S1A_IW_SLC__1SDV_20200214T174430_20200214T174457_031252_03982E_1D44;S1A_IW_OCN__2SDV_20200214T174431_20200214T174456_031252_03982E_22F6;S1A_IW_RAW__0SDV_20200214T174427_20200214T174459_031252_03982E_90FB
15;S1A_IW_GRDH_1SDV_20200421T050340_20200421T050405_032221_03BA14_CCA3;S1A_IW_SLC__1SDV_20200421T050338_20200421T050406_032221_03BA14_7DD2;S1A_IW_OCN__2SDV_20200421T050340_20200421T050405_032221_03BA14_6F18;S1A_IW_RAW__0SDV_20200421T050336_20200421T050408_032221_03BA14_71DC
16;S1A_IW_GRDH_1SDV_20200126T175311_20200126T175336_030975_038E94_BAE3;S1A_IW_SLC__1SDV_20200126T175310_20200126T175337_030975_038E94_D249;S1A_IW_OCN__2SDV_20200126T175311_20200126T175336_030975_038E94_E8EC;S1A_IW_RAW__0SDV_20200126T175307_20200126T175340_030975_038E94_08CA
17;S1A_IW_GRDH_1SDV_20200226T052146_20200226T052215_031419_039DEC_689A;S1A_IW_SLC__1SDV_20200226T052146_20200226T052216_031419_039DEC_1B76;S1A_IW_OCN__2SDV_20200226T051229_20200226T051254_031419_039DEA_8AC2;S1A_IW_RAW__0SDV_20200226T052147_20200226T052219_031419_039DEC_6B04
18;S1A_IW_GRDH_1SDV_20200321T174431_20200321T174456_031777_03AA65_8AB1;S1A_IW_SLC__1SDV_20200321T174430_20200321T174457_031777_03AA65_97CA;S1A_IW_OCN__2SDV_20200321T175413_20200321T175438_031777_03AA66_B5B6;S1A_IW_RAW__0SDV_20200321T174427_20200321T174500_031777_03AA65_F35D
19;S1A_IW_GRDH_1SDV_20200403T054836_20200403T054901_031959_03B0CA_B9A4;S1A_IW_SLC__1SDV_20200403T054834_20200403T054901_031959_03B0CA_FD46;S1A_IW_OCN__2SDV_20200403T054836_20200403T054901_031959_03B0CA_C9C0;S1A_IW_RAW__0SDV_20200403T054832_20200403T054904_031959_03B0CA_9667
20;S1A_IW_GRDH_1SDV_20200414T174432_20200414T174457_032127_03B6BD_C3BA;S1A_IW_SLC__1SDV_20200414T174431_20200414T174458_032127_03B6BD_BBB0;S1A_IW_OCN__2SDV_20200414T174432_20200414T174457_032127_03B6BD_4EE7;S1A_IW_RAW__0SDV_20200414T174428_20200414T174500_032127_03B6BD_8DA9
21;S1A_IW_GRDH_1SDV_20200427T054836_20200427T054901_032309_03BD1A_2692;S1A_IW_SLC__1SDV_20200427T054835_20200427T054902_032309_03BD1A_0BE5;S1A_IW_OCN__2SDV_20200427T054836_20200427T054901_032309_03BD1A_F16F;S1A_IW_RAW__0SDV_20200427T054833_20200427T054905_032309_03BD1A_734E
22;S1A_IW_GRDH_1SDV_20200427T054901_20200427T054926_032309_03BD1A_006F;S1A_IW_SLC__1SDV_20200427T054900_20200427T054928_032309_03BD1A_6DE0;S1A_IW_OCN__2SDV_20200427T054901_20200427T054926_032309_03BD1A_A15A;S1A_IW_RAW__0SDV_20200427T054858_20200427T054930_032309_03BD1A_5221
