ID;SCENE;FLOOD DATE;AOI;GRD;SLC;;;;;;;;
1;1111008;12/04/2018;1;S1A_IW_GRDH_1SDV_20200816T112156_20200816T112221_033931_03EFB3_AA39;S1A_IW_SLC__1SDV_20200816T112155_20200816T112223_033931_03EFB3_8915;;;;;;;;
;;;;S1A_IW_GRDH_1SDV_20200816T112156_20200816T112221_033931_03EFB3_AA39;S1A_IW_SLC__1SDV_20200816T112155_20200816T112223_033931_03EFB3_8915;;;;;;;;
2;118;X/X/X;1,2;S1A_IW_GRDH_1SDV_20200816T112156_20200816T112221_033931_03EFB3_AA39;S1A_IW_SLC__1SDV_20200816T112155_20200816T112223_033931_03EFB3_8915;;;;;;;;
3;205;X/X/X;1,3,4,5;S1A_IW_GRDH_1SDV_20170112T002510_20170112T002535_014791_018174_57B8;S1A_IW_SLC__1SDV_20170112T002509_20170112T002535_014791_018174_D79C;;;;;;;;
;;;5,6,11;S1A_IW_GRDH_1SDV_20200816T112156_20200816T112221_033931_03EFB3_AA39;S1A_IW_SLC__1SDV_20200816T112155_20200816T112223_033931_03EFB3_8915;;;;;;;;
;;;11;S1A_IW_GRDH_1SDV_20170915T060134_20170915T060159_018382_01EF0B_818B;S1A_IW_SLC__1SDV_20170915T060132_20170915T060200_018382_01EF0B_A9E2;;;;;;;;
;;;5,6,11;S1B_IW_GRDH_1SDV_20170915T175405_20170915T175430_007406_00D116_60F8;S1B_IW_SLC__1SDV_20170915T175404_20170915T175431_007406_00D116_7DFA;;;;;;;;
;;;5,6,11;S1A_IW_GRDH_1SDV_20180413T175451_20180413T175516_021452_024F10_6834;S1A_IW_SLC__1SDV_20180413T175450_20180413T175517_021452_024F10_2674;;;;;;;;
;;;5,6,11;S1A_IW_GRDH_1SDV_20180419T060107_20180419T060132_021532_02519D_258D;S1A_IW_SLC__1SDV_20180419T060106_20180419T060133_021532_02519D_A4C2;;;;;;;;
;;;11;S1A_IW_GRDH_1SDV_20180419T060132_20180419T060157_021532_02519D_B572;S1A_IW_SLC__1SDV_20180419T060131_20180419T060159_021532_02519D_4931;;;;;;;;
;;;;;;;;;;;;;
;321(HONDURAS);06/10/2018;1,2,3,4;S1A_IW_GRDH_1SDV_20171211T235728_20171211T235753_019662_021690_D65A;S1A_IW_SLC__1SDV_20171211T235727_20171211T235754_019662_021690_3C7C;;;;;;;;
;;;1,2,3,4;S1A_IW_GRDH_1SDV_20171223T235727_20171223T235752_019837_021BF1_A94B;S1A_IW_SLC__1SDV_20171223T235726_20171223T235753_019837_021BF1_2C6D;;;;;;;;
;;;1,2,3,4;S1A_IW_GRDH_1SDV_20181007T235735_20181007T235800_024037_02A069_19C2;S1A_IW_SLC__1SDV_20181007T235734_20181007T235801_024037_02A069_7F96;;;;;;;;
;;;;;;;;;;;;;
;324 (FRANCE);15/10/2018;1,2,3,4;S1B_IW_GRDH_1SDV_20180713T055148_20180713T055213_011788_015B03_A2CA;S1B_IW_SLC__1SDV_20180713T055147_20180713T055214_011788_015B03_3A99;;;;;;;;
;;;1,2,3,5;S1B_IW_GRDH_1SDV_20180830T055150_20180830T055215_012488_01707F_DEF6;S1B_IW_SLC__1SDV_20180830T055149_20180830T055216_012488_01707F_9D18;;;;;;;;
;;;1,2,3,6;S1A_IW_GRDH_1SDV_20181016T060051_20181016T060116_024157_02A459_BFCA;S1A_IW_SLC__1SDV_20181016T060050_20181016T060117_024157_02A459_FB1A;;;;;;;;
;;;;;;;;;;;;;
;411(FRANCE);23/11/2019;1;S1A_IW_GRDH_1SDV_20190902T053614_20190902T053639_028838_034486_5E9B;S1A_IW_SLC__1SDV_20190902T053613_20190902T053640_028838_034486_7601;;;;;;;;
;;;1;S1A_IW_GRDH_1SDV_20191020T053616_20191020T053641_029538_035CA3_A4C4;S1A_IW_SLC__1SDV_20191020T053614_20191020T053641_029538_035CA3_2C9F;;;;;;;;
;;;1;S1A_IW_GRDH_1SDV_20191125T053615_20191125T053640_030063_036EEE_FF7D;S1A_IW_SLC__1SDV_20191125T053614_20191125T053641_030063_036EEE_202B;;;;;;;;
;;;;;;;;;;;;;
;417(PORTUGAL);19/12/2019;1;S1A_IW_GRDH_1SDV_20190813T064250_20190813T064315_028547_033A73_88E2;S1A_IW_SLC__1SDV_20190813T064249_20190813T064316_028547_033A73_3906;;;;;;;;
;;;1;S1A_IW_GRDH_1SDV_20190825T064251_20190825T064316_028722_03407D_CA48;S1A_IW_SLC__1SDV_20190825T064249_20190825T064316_028722_03407D_F996;;;;;;;;
;;;1;S1A_IW_GRDH_1SDV_20191223T064251_20191223T064316_030472_037D16_1012;S1A_IW_SLC__1SDV_20191223T064249_20191223T064317_030472_037D16_158B;;;;;;;;
;;;;;;;;;;;;;
