num;slc;grd;raw
1;S1A_IW_SLC__1SDV_20200115T170904_20200115T170931_030814_0388F3_D5F6;S1A_IW_GRDH_1SDV_20200115T170905_20200115T170930_030814_0388F3_0FB6;S1A_IW_RAW__0SDV_20200115T170902_20200115T170934_030814_0388F3_60A8
2;S1A_IW_SLC__1SDV_20200119T181513_20200119T181540_030873_038AFB_69BE;S1A_IW_GRDH_1SDV_20200119T181514_20200119T181539_030873_038AFB_8591;S1A_IW_RAW__0SDV_20200119T181510_20200119T181543_030873_038AFB_E331
3;S1A_IW_SLC__1SDV_20200515T032856_20200515T032923_032570_03C5BA_9EBB;S1A_IW_GRDH_1SDV_20200515T032857_20200515T032922_032570_03C5BA_0C2D;S1A_IW_RAW__0SDV_20200515T032854_20200515T032926_032570_03C5BA_11CC
4;S1A_IW_SLC__1SDV_20200320T171749_20200320T171822_031762_03A9DA_FBDF;S1A_IW_GRDH_1SDV_20200320T171751_20200320T171822_031762_03A9DA_3F0E;S1A_IW_RAW__0SDV_20200320T171747_20200320T171822_031762_03A9DA_6EAB
5;S1A_IW_SLC__1SDV_20200328T161313_20200328T161340_031878_03AE00_BA28;S1A_IW_GRDH_1SDV_20200328T161315_20200328T161340_031878_03AE00_AE0B;S1A_IW_RAW__0SDV_20200328T161311_20200328T161343_031878_03AE00_6897
6;S1A_IW_SLC__1SDV_20200327T102857_20200327T102924_031860_03AD56_7889;S1A_IW_GRDH_1SDV_20200327T102858_20200327T102923_031860_03AD56_97E0;S1A_IW_RAW__0SDV_20200327T102855_20200327T102927_031860_03AD56_42AC
7;S1A_IW_SLC__1SDV_20200924T000836_20200924T000906_034493_04038B_B012;S1A_IW_GRDH_1SDV_20200924T000836_20200924T000905_034493_04038B_AEFD;S1A_IW_RAW__0SDV_20200924T000837_20200924T000909_034493_04038B_D069
8;S1A_IW_SLC__1SDV_20200418T030717_20200418T030745_032176_03B872_778B;S1A_IW_GRDH_1SDV_20200418T030719_20200418T030744_032176_03B872_303A;S1A_IW_RAW__0SDV_20200418T030715_20200418T030747_032176_03B872_997E
9;S1A_IW_SLC__1SDV_20200420T120600_20200420T120628_032211_03B9B5_8C10E;S1A_IW_GRDH_1SDV_20200420T120601_20200420T120626_032211_03B9B5_55AD;S1A_IW_RAW__0SDV_20200420T120558_20200420T120630_032211_03B9B5_10BB
10;S1A_IW_SLC__1SDV_20200418T210852_20200418T210918_032187_03B8D9_3DBE;S1A_IW_GRDH_1SDV_20200418T210853_20200418T210918_032187_03B8D9_64E4;S1A_IW_RAW__0SDV_20200418T210849_20200418T210918_032187_03B8D9_2726
11;S1A_IW_SLC__1SDV_20201122T025208_20201122T025235_035355_042179_3723;S1A_IW_GRDH_1SDV_20201122T025209_20201122T025234_035355_042179_DC81;S1A_IW_RAW__0SDV_20201122T025206_20201122T025238_035355_042179_B1EE
12;S1A_IW_SLC__1SDV_20201122T025050_20201122T025120_035355_042179_DA38;S1A_IW_GRDH_1SDV_20201122T025050_20201122T025119_035355_042179_F225;S1A_IW_RAW__0SDV_20201122T025051_20201122T025123_035355_042179_AE60
13;S1A_IW_SLC__1SDV_20201120T154111_20201120T154138_035334_0420B9_66CE;S1A_IW_GRDH_1SDV_20201120T154113_20201120T154138_035334_0420B9_CA0B;S1A_IW_RAW__0SDV_20201120T154109_20201120T154141_035334_0420B9_8D20
14;S1A_IW_SLC__1SDV_20201119T150254_20201119T150321_035319_042033_2496;S1A_IW_GRDH_1SDV_20201119T150255_20201119T150320_035319_042033_9A87;S1A_IW_RAW__0SDV_20201119T150251_20201119T150324_035319_042033_A592
15;S1A_IW_SLC__1SDV_20201219T225837_20201219T225904_035761_042F74_734B;S1A_IW_GRDH_1SDV_20201219T225837_20201219T225902_035761_042F74_E27A;S1A_IW_RAW__0SDV_20201219T225834_20201219T225906_035761_042F74_F0E6
16;S1A_IW_SLC__1SDV_20201209T171758_20201209T171831_035612_042A5A_4467;S1A_IW_GRDH_1SDV_20201209T171759_20201209T171831_035612_042A5A_304D;S1A_IW_RAW__0SDV_20201209T171755_20201209T171830_035612_042A5A_7B51
17;S1A_IW_SLC__1SDV_20201216T233626_20201216T233654_035718_042E05_FEEA;S1A_IW_GRDH_1SDV_20201216T233628_20201216T233653_035718_042E05_AF62;S1A_IW_RAW__0SDV_20201216T233624_20201216T233657_035718_042E05_5764
18;S1A_IW_SLC__1SDV_20210624T153121_20210624T153149_038483_048A92_2E12;S1A_IW_GRDH_1SDV_20210624T153123_20210624T153148_038483_048A92_DBD8;S1A_IW_RAW__0SDV_20210624T153119_20210624T153151_038483_048A92_EFAC
19;S1A_IW_SLC__1SDV_20210627T045931_20210627T045958_038521_048BBC_65BA;S1A_IW_GRDH_1SDV_20210627T045933_20210627T045958_038521_048BBC_9524;S1A_IW_RAW__0SDV_20210627T045929_20210627T050001_038521_048BBC_0EEC
20;S1A_IW_SLC__1SDV_20210625T020715_20210625T020743_038490_048AC9_E777;S1A_IW_GRDH_1SDV_20210625T020717_20210625T020742_038490_048AC9_EDA9;S1A_IW_RAW__0SDV_20210625T020713_20210625T020746_038490_048AC9_6645
21;S1A_IW_SLC__1SDV_20210908T082218_20210908T082245_039587_04ADEF_FC3E;S1A_IW_GRDH_1SDV_20210908T082219_20210908T082244_039587_04ADEF_067C;S1A_IW_RAW__0SDV_20210908T082215_20210908T082248_039587_04ADEF_362B
