split,xml_file,scene_id,sar_product,polarization,swath,wind_speed,wind_direction,num_ships,vessel_name,vessel_length,is_vessel,confidence,distance_to_shore
train,DB_OPENSAR_VD_1010.xml,DB_OPENSAR_DVD_1010,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,1,5.8,233.6481,2,Ship_1,,True,MEDIUM,9999.99
train,DB_OPENSAR_VD_1010.xml,DB_OPENSAR_DVD_1010,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,1,5.8,233.6481,2,Ship_2,81.08647128,True,HIGH,9999.99
train,DB_OPENSAR_VD_1021.xml,DB_OPENSAR_DVD_1021,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,2,4.8,253.4675,2,Ship_1,79.22458298,True,HIGH,4.98427
train,DB_OPENSAR_VD_1021.xml,DB_OPENSAR_DVD_1021,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,2,4.8,253.4675,2,Ship_2,36.5353498,True,HIGH,2.76776
train,DB_OPENSAR_VD_1036.xml,DB_OPENSAR_DVD_1036,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,2,4.8,255.4528,2,Ship_1,,True,MEDIUM,5.23111
train,DB_OPENSAR_VD_1036.xml,DB_OPENSAR_DVD_1036,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,2,4.8,255.4528,2,Ship_2,81.12053805,True,HIGH,5.24855
test,DB_OPENSAR_VD_104.xml,DB_OPENSAR_DVD_104,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,DV,1,1.8,129.6367,5,Ship_1,38.17741089,True,HIGH,9999.99
test,DB_OPENSAR_VD_104.xml,DB_OPENSAR_DVD_104,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,DV,1,1.8,129.6367,5,Ship_2,51.69079376,True,HIGH,9999.99
test,DB_OPENSAR_VD_104.xml,DB_OPENSAR_DVD_104,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,DV,1,1.8,129.6367,5,Ship_3,81.51376363,True,HIGH,9999.99
test,DB_OPENSAR_VD_104.xml,DB_OPENSAR_DVD_104,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,DV,1,1.8,129.6367,5,Ship_4,63.71287667,True,HIGH,9999.99
test,DB_OPENSAR_VD_104.xml,DB_OPENSAR_DVD_104,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,DV,1,1.8,129.6367,5,Ship_5,,True,HIGH,9999.99
train,DB_OPENSAR_VD_1071.xml,DB_OPENSAR_DVD_1071,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,3,5.9,253.4637,1,Ship_1,125.6305512,True,HIGH,9999.99
train,DB_OPENSAR_VD_1080.xml,DB_OPENSAR_DVD_1080,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,3,4.9,240.5,1,Ship_1,182.2848297,True,HIGH,9999.99
train,DB_OPENSAR_VD_1091.xml,DB_OPENSAR_DVD_1091,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,3,4.9,250.4216,1,Ship_1,,True,MEDIUM,4.68019
test,DB_OPENSAR_VD_11.xml,DB_OPENSAR_DVD_11,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,DV,1,1.5,171.6812,2,Ship_1,190.0,True,HIGH,9999.99
test,DB_OPENSAR_VD_11.xml,DB_OPENSAR_DVD_11,S1A_IW_SLC__1SDV_20200126T052956_20200126T053026_030967_038E50_4681,DV,1,1.5,171.6812,2,Ship_2,201.9434849,True,HIGH,9999.99
train,DB_OPENSAR_VD_1101.xml,DB_OPENSAR_DVD_1101,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,3,5.1,249.4189,2,Ship_1,,True,MEDIUM,5.21989
train,DB_OPENSAR_VD_1101.xml,DB_OPENSAR_DVD_1101,S1A_IW_SLC__1SDV_20200724T053002_20200724T053032_033592_03E4A8_F5D5,DV,3,5.1,249.4189,2,Ship_2,,True,MEDIUM,5.93575
